"","Unique.location","Acanthurus.nigrofuscus","Chlorurus.sordidus","Ctenochaetus.binotatus","Ctenochaetus.striatus","Naso.lituratus","Pomacentrus.bankanensis","Scarus.niger","wrasse.unident","Zebrasoma.scopas","count"
"267","74.d3",0,0,0,0,0,0,1,0,0,1
"268","74.d5",0,0,0,0,0,0,1,0,0,1
"269","74.d8",0,0,0,0,0,0,1,0,0,1
"270","74.e7",0,0,0,0,0,0,1,0,0,1
"271","74.f4",0,0,0,0,0,0,1,0,0,1
"272","74.g3",0,0,0,0,0,0,2,0,0,1
"273","74.g7",0,0,0,0,0,0,1,0,0,1
"274","74.g8",0,0,0,0,0,1,0,0,0,1
"275","74.g9",0,0,0,0,0,0,0,0,0,0
"276","79.b6",0,0,0,0,0,0,4,0,0,1
"277","79.c5",0,0,0,0,0,0,1,0,0,1
"278","79.c7",0,0,0,0,0,0,4,0,0,1
"279","79.d4",0,0,0,0,0,0,4,0,0,1
"280","79.d6",0,0,0,0,0,0,4,0,0,1
"281","79.e3",0,0,0,0,0,0,1,0,0,1
"282","79.e7",0,0,0,0,0,0,2,0,0,1
"283","79.f2",0,0,0,0,0,0,2,0,0,1
"284","79.f8",0,0,0,0,0,0,1,0,0,1
"285","79.h6",0,0,0,0,0,0,1,0,0,1
"286","79.h8",0,0,0,0,0,0,1,0,0,1
"287","80.b2",0,0,0,0,2,0,0,0,0,1
"288","80.b4",0,0,4,0,5,0,0,0,0,2
"289","80.b6",0,0,0,0,5,0,0,0,0,1
"290","80.b8",0,0,0,0,2,0,0,0,0,1
"291","80.c1",0,0,0,0,1,0,0,0,0,1
"292","80.c4",0,0,1,0,0,0,0,0,0,1
"293","80.c6",0,0,0,0,2,0,0,0,0,1
"294","80.c7",0,0,0,0,1,0,0,0,0,1
"295","80.d1",0,0,0,0,1,0,0,0,0,1
"296","80.d2",0,0,1,0,2,0,0,0,0,2
"297","80.d3",0,0,2,0,2,0,0,1,0,3
"298","80.d7",0,0,0,0,1,0,0,0,0,1
"299","80.d8",0,0,0,0,2,0,0,0,0,1
"300","80.e1",0,0,1,0,0,0,0,0,0,1
"301","80.e2",0,0,1,0,0,0,0,0,0,1
"302","80.e3",0,0,6,0,2,0,0,1,0,3
"303","80.e4",0,0,1,0,0,0,0,0,0,1
"304","80.f2",0,0,5,0,6,0,0,0,0,2
"305","80.f3",0,0,1,0,0,0,0,0,0,1
"306","80.f4",0,0,6,0,0,0,0,1,0,2
"307","80.f5",0,0,4,0,0,0,0,0,0,1
"308","80.f6",0,0,2,0,0,0,0,0,0,1
"309","80.f8",0,0,0,0,1,0,0,0,0,1
"310","80.g1",0,0,0,0,3,0,0,0,0,1
"311","80.g3",0,0,6,0,0,0,0,0,0,1
"312","80.g4",0,0,0,0,0,0,0,2,0,1
"313","80.g5",0,0,3,0,0,0,0,0,0,1
"314","80.g7",0,5,2,0,1,0,0,0,0,3
"315","80.g8",0,1,0,0,0,0,0,0,0,1
"316","80.h2",0,15,0,0,6,0,0,0,0,2
"317","80.h4",0,7,2,0,3,0,0,0,0,3
"318","80.h6",0,7,11,0,1,0,0,0,0,3
"319","80.h7",0,3,0,0,0,0,0,0,0,1
"320","80.h8",0,11,0,0,2,0,0,0,0,2
"321","80.i3",0,0,0,0,1,0,0,0,0,1
"322","80.i4",0,0,2,0,0,0,0,0,0,1
"323","80.i5",0,1,0,0,0,0,0,0,0,1
